八佰‎ (2020), 王千源 , 张译 , 姜武 , 黄志忠 , 张俊一 , 欧豪 , 杜淳 , 魏晨,,
金刚川‎ (2020), 郭帆 , 路阳 , 张译 , 吴京 , 李九霄 , 魏晨 , 邓超 , 欧豪 , 邱天 , 周思羽
老炮儿‎ (2015), 冯小刚 , 许晴 , 张涵予 , 刘桦 , 李易峰 , 吴亦凡 , 梁静 , 白举纲,,
斗牛‎ (2009), 黄渤 , 闫妮 , 高虎 , 来喜 , 胡晓光 , 刘向京 , 陶泽如 , 孙松,,
杀生‎ (2012), 黄渤 , 任达华 , 余男 , 苏有朋 , 马精武 , 梁静 , 王迅,,,
厨子戏子痞子‎ (2013), 刘烨 , 张涵予 , 黄渤 , 田中千绘 , 梁静 , 王迅 , 大冢匡将 , 张鲁一,,
上车走吧‎ (2000), 高虎 , 黄渤 , 陈宁 , 姜彤 , 胡晓光 , 孙艺菲,,,,
鬼吹灯之黄皮子坟‎ (2017), 费振翔 , 阮经天 , 徐璐 , 郝好 , 刘潮 , 尚铁龙 , 胡晓光 , 李沐宸 , 梁静,
头发乱了‎ (1994), 耿乐 , 孔琳 , 张嘉益 , 丁嘉丽,,,,,,
黑洞‎ (2001), 陈道明 , 陶泽如 , 丁嘉丽 , 董勇 , 陶红 , 袁立 , 刘斌 , 高明,,
东极岛‎ (2021), 王竞,,,,,,,,,
生存之民工‎ (2005), 康宁 , 陶泽如 , 丁勇岱 , 马少骅 , 黄渤 , 雪村 , 孙松 , 王小毅 , 高秀敏,
外乡人‎ (2009), 丁嘉丽 , 郑则仕 , 黄渤 , 马少骅 , 陶慧 , 李兆林 , 王迅,,,
外滩钟声‎ (2018), 费振翔 , 俞灏明 , 吴谨言 , 陈瑾 , 陈洁 , 代旭 , 牛犇 , 张芝华 , 刘碧渠,
火线三兄弟‎ (2013), 张涵予 , 刘烨 , 黄渤 , 孙宁 , 黄小蕾 , 李梦 , 迟蓬 , 张鲁一,,
蛮荒搜神记‎ (2020), 刘恺威 , 王鸥 , 陈亦飞 , 张峻宁 , 牛骏峰 , 李威 , 赵予熙 , 陈梦瑶,,
西施眼‎ (2002), 马伊俐 , 黄依群 , 杨倩倩,,,,,,,
冬至‎ (2004), 陈道明 , 陈瑾 , 丁勇岱 , 张子健 , 刘斌 , 高景文 , 李诚儒 , 刘敏涛,,
疯城记‎ (2025),,,,,,,,,,
生死血符‎ (2015), 陈瑾 , 陶泽如 , 武强 , 殷桃 , 郭晓东 , 詹姆斯,,,,
月供‎ (2015), 郭京飞 , 张芷溪 , 陈赫 , 黄一晗 , 马丹旎 , 高宝宝 , 谢园 , 冯鹏,,
活着真好‎ (2008), 归亚蕾 , 丁嘉丽 , 赵军 , 王菁华 , 管宗祥 , 王洛勇 , 陶泽如 , 梁静,,
再见，我们的1948‎ (1999), 肖岳 , 朱媛媛 , 杨若榴 , 迟嘉,,,,,,
沂蒙‎ (2009), 迟蓬 , 孟霞 , 徐囡楠 , 冯海煜 , 张启军,,,,,
我们最美好的十年‎ (2016), 梁静 , 高叶 , 王策 , 许娣 , 徐美玲 , 经超,,,,
女子军魂‎ (2012), 闫妮 , 耿乐 , 胡晓光 , 倪虹洁 , 徐冬梅,,,,,
冲出绝境‎ (2006), 赵君 , 陶泽如 , 刘威葳 , 胡晓光 , 段宇华 , 胡龙吟,,,,
浪漫街头‎ (1996), 谢东 , 孔琳,,,,,,,,
牌坊‎ (1995), 小岛 , 舒刚 , 闭业俊 , 孔琳 , 陶红 , 左翎,,,,
防空洞之无处可藏‎ (2015),,,,,,,,,,